parameter,direction,base_value,new_value,calmar_ratio,delta_calmar
macd_signal,up,7.0,8.0,-9.0979,-73.4063
rsi_os,down,34.76428936360437,27.811431490883496,-8.6322,-72.9406
macd_fast,up,9.0,11.0,-8.5119,-72.8203
macd_slow,up,21.0,25.0,-7.6065,-71.9149
rsi_ob,down,74.36766023637811,59.4941281891025,12.3824,-51.926
macd_signal,down,7.0,6.0,16.2248,-48.083600000000004
macd_fast,down,9.0,7.0,16.2248,-48.083600000000004
macd_slow,down,21.0,17.0,16.2248,-48.083600000000004
bb_period,down,12.0,10.0,30.7332,-33.57520000000001
tp,up,0.06709709203803342,0.08051651044564011,46.9307,-17.377700000000004
n_btc,down,0.037997099563391576,0.03039767965071326,56.1129,-8.195500000000003
rsi_period,down,13.0,10.0,64.261,-0.04740000000001032
bb_std,up,1.7422992503564934,2.090759100427792,64.3084,0.0
rsi_period,up,13.0,16.0,64.3796,0.07119999999999038
sl,up,0.043756071580091815,0.05250728589611018,67.6844,3.3759999999999906
n_btc,up,0.037997099563391576,0.04559651947606989,73.8831,9.574699999999993
rsi_os,up,34.76428936360437,41.71714723632524,97.0248,32.71639999999999
sl,down,0.043756071580091815,0.03500485726407345,97.7914,33.48299999999999
bb_period,up,12.0,14.0,107.1994,42.89099999999999
bb_std,down,1.7422992503564934,1.3938394002851948,107.1994,42.89099999999999
rsi_ob,up,74.36766023637811,89.24119228365373,139.7233,75.41489999999999
tp,down,0.06709709203803342,0.05367767363042674,146.8524,82.54399999999998
